embed_dim,embedding_near_threshold,false_shortcut_joint_rate,false_shortcut_rate,graph_far_threshold,spearman_embedding_vs_graph,stress
1,0.4897542717712601,0.004215597711532671,0.01580135440180587,19.0,0.7039800964707503,0.25609992067851534
2,0.7107318713392293,0.0021077988557663355,0.007900677200902935,19.0,0.7675092090460882,0.12921786635714452
3,1.169334959633547,0.0,0.0,19.0,0.9364370364119319,0.028779752773135867
4,2.4623920588947,0.0,0.0,19.0,0.9790238402300606,0.009133681561793913
8,3.1732638298631026,0.0,0.0,19.0,0.9911855190594441,0.006116639925068326
16,3.1732638298631026,0.0,0.0,19.0,0.9911855190594441,0.006116639925068326
