n,m,analytic_lower,analytic_upper,grid_actual_gain,best_empirical_gain,median_random_gain,lower_to_empirical_gap,empirical_to_grid_improvement,lower_to_empirical_ratio,analytic_upper_to_lower_ratio
8,1,1.75,7.0,7.0,7.0,16.641306906756185,5.25,0.0,4.0,4.0
8,2,1.0,2.8284271247461903,2.8284271247461903,2.8284271247461903,5.326512722115278,1.8284271247461903,0.0,2.8284271247461903,2.8284271247461903
8,4,1.0,2.0,1.7320508075688772,1.7320508075688772,2.8275395817269176,0.7320508075688772,0.0,1.7320508075688772,2.0
8,7,1.0,2.6457513110645907,1.7320508075688772,1.000000000000001,,1.1102230246251565e-15,0.7320508075688761,1.000000000000001,2.6457513110645907
16,1,3.75,15.0,15.0,15.0,74.87672992066173,11.25,0.0,4.0,4.0
16,2,1.0,4.242640687119286,4.242640687119285,4.242640687119285,10.41506132912664,3.2426406871192848,0.0,4.242640687119285,4.242640687119286
16,4,1.0,2.0,2.0,2.0,5.911670132851257,1.0,0.0,2.0,2.0
16,15,1.0,3.872983346207417,2.0,1.0000000000000013,,1.3322676295501878e-15,0.9999999999999987,1.0000000000000013,3.872983346207417
