system,n,m,seed,run_type,init_kind,objective,initial_required_gain,best_required_gain,final_required_gain,min_pairwise_distance,max_pairwise_distance,steps_run,restart_count,converged,stopped_reason
AdjacentSwap,4,1,0,random,random_gaussian,generic,3.8247172547191135,3.5716352981286223,3.5716352981286223,1.0,4.344575884157627,3,0,False,max_steps
AdjacentSwap,4,2,0,random,random_gaussian,generic,1.775399896874295,1.5627925277635668,1.5627925277635668,1.0,2.152679876783456,3,0,False,max_steps
AdjacentSwap,4,3,0,random,random_gaussian,generic,1.601960013301587,1.4750832390937287,1.4750832390937287,1.0000000000000002,2.167777399018833,3,0,False,max_steps
Cycle,4,1,0,random,random_gaussian,generic,4.315996449900963,3.9141228763105076,3.9141228763105076,1.0,4.045442855804271,3,0,False,max_steps
Cycle,4,2,0,random,random_gaussian,generic,2.3797525048703694,2.1305520370685267,2.1305520370685267,0.9999999999999998,2.1305520370685262,3,0,False,max_steps
Cycle,4,3,0,random,random_gaussian,generic,1.6378261043361375,1.485940555797079,1.485940555797079,1.0000000000000002,2.10982551481488,3,0,False,max_steps
AllSwap,4,1,0,random,random_gaussian,generic,3.8247172547191135,3.5716054124345717,3.5716054124345717,0.9999999999999999,4.34451534282654,3,0,False,max_steps
AllSwap,4,2,0,random,random_gaussian,generic,2.3797525048703694,2.130509729564995,2.130509729564995,1.0,2.130509729564995,3,0,False,max_steps
AllSwap,4,3,0,random,random_gaussian,generic,2.081382827178598,1.8202231623120844,1.8202231623120844,1.0000000000000002,1.8202231623120848,3,0,False,max_steps
AdjacentSwap,6,1,0,random,random_gaussian,generic,6.262959060624613,5.788730080936542,5.788730080936542,0.9999999999999998,10.946933796781178,3,0,False,max_steps
AdjacentSwap,6,2,0,random,random_gaussian,generic,2.533860894560602,2.394527340095313,2.394527340095313,1.0000000000000002,6.438779726969272,3,0,False,max_steps
AdjacentSwap,6,3,0,random,random_gaussian,generic,2.641438135202161,2.330205330698927,2.330205330698927,1.0,2.798476157209082,3,0,False,max_steps
AdjacentSwap,6,4,0,random,random_gaussian,generic,2.6121797133070928,2.315672989889389,2.315672989889389,1.0000000000000002,2.724845131227451,3,0,False,max_steps
AdjacentSwap,6,5,0,random,random_gaussian,generic,2.075420034289245,1.833592511617034,1.833592511617034,1.0,2.1535046303515597,3,0,False,max_steps
Cycle,6,1,0,random,random_gaussian,generic,9.359578849677138,8.65096497930415,8.65096497930415,1.0000000000000002,10.878572044361892,3,0,False,max_steps
Cycle,6,2,0,random,random_gaussian,generic,3.6614699238608424,3.257700879053472,3.257700879053472,1.0000000000000002,5.799141799970636,3,0,False,max_steps
Cycle,6,3,0,random,random_gaussian,generic,2.67364128358615,2.2630370335080876,2.2630370335080876,1.0,3.1585348775378805,3,0,False,max_steps
Cycle,6,4,0,random,random_gaussian,generic,2.107336066091135,1.7003736553142577,1.7003736553142577,0.9999999999999999,2.588974359650309,3,0,False,max_steps
Cycle,6,5,0,random,random_gaussian,generic,1.6641151842224202,1.4268234523235297,1.4268234523235297,1.0,2.0564028007776436,3,0,False,max_steps
AllSwap,6,1,0,random,random_gaussian,generic,9.359578849677138,8.651214979070534,8.651214979070534,1.0000000000000002,10.940207891849346,3,0,False,max_steps
AllSwap,6,2,0,random,random_gaussian,generic,3.7836155515532437,3.4449072392609525,3.4449072392609525,1.0,5.737432508159275,3,0,False,max_steps
AllSwap,6,3,0,random,random_gaussian,generic,3.1122741064223094,2.7557409407824163,2.7557409407824163,1.0,2.8419249119278502,3,0,False,max_steps
AllSwap,6,4,0,random,random_gaussian,generic,2.9167473770338286,2.514567733195205,2.514567733195205,1.0000000000000002,2.6466517325839205,3,0,False,max_steps
AllSwap,6,5,0,random,random_gaussian,generic,2.3998615994835024,2.0200946978987777,2.0200946978987777,1.0000000000000002,2.020094697898778,3,0,False,max_steps
