system,n,m,theoretical_L1_threshold,best_required_gain,median_required_gain,mean_required_gain,std_required_gain,empirical_L1_feasible,best_explicit_gain,best_feasible_upper_gain,empirical_or_explicit_L1_feasible
AdjacentSwap,4,1,3,3.5716352981286223,3.5716352981286223,3.5716352981286223,0.0,False,,3.5716352981286223,False
AdjacentSwap,4,2,3,1.5627925277635668,1.5627925277635668,1.5627925277635668,0.0,False,,1.5627925277635668,False
AdjacentSwap,4,3,3,1.4750832390937287,1.4750832390937287,1.4750832390937287,0.0,False,1.0000000000000007,1.0000000000000007,True
AdjacentSwap,6,1,5,5.788730080936542,5.788730080936542,5.788730080936542,0.0,False,,5.788730080936542,False
AdjacentSwap,6,2,5,2.394527340095313,2.394527340095313,2.394527340095313,0.0,False,,2.394527340095313,False
AdjacentSwap,6,3,5,2.330205330698927,2.330205330698927,2.330205330698927,0.0,False,,2.330205330698927,False
AdjacentSwap,6,4,5,2.315672989889389,2.315672989889389,2.315672989889389,0.0,False,,2.315672989889389,False
AdjacentSwap,6,5,5,1.833592511617034,1.833592511617034,1.833592511617034,0.0,False,1.0000000000000007,1.0000000000000007,True
AllSwap,4,1,3,3.5716054124345717,3.5716054124345717,3.5716054124345717,0.0,False,2.855308495514279,2.855308495514279,False
AllSwap,4,2,3,2.130509729564995,2.130509729564995,2.130509729564995,0.0,False,1.4142135623730951,1.4142135623730951,False
AllSwap,4,3,3,1.8202231623120844,1.8202231623120844,1.8202231623120844,0.0,False,1.0000000000000004,1.0000000000000004,True
AllSwap,6,1,5,8.651214979070534,8.651214979070534,8.651214979070534,0.0,False,4.709892562990884,4.709892562990884,False
AllSwap,6,2,5,3.4449072392609525,3.4449072392609525,3.4449072392609525,0.0,False,2.23606797749979,2.23606797749979,False
AllSwap,6,3,5,2.7557409407824163,2.7557409407824163,2.7557409407824163,0.0,False,1.6490510416308766,1.6490510416308766,False
AllSwap,6,4,5,2.514567733195205,2.514567733195205,2.514567733195205,0.0,False,1.6490510416308766,1.6490510416308766,False
AllSwap,6,5,5,2.0200946978987777,2.0200946978987777,2.0200946978987777,0.0,False,1.0000000000000009,1.0000000000000009,True
Cycle,4,1,2,3.9141228763105076,3.9141228763105076,3.9141228763105076,0.0,False,,3.9141228763105076,False
Cycle,4,2,2,2.1305520370685267,2.1305520370685267,2.1305520370685267,0.0,False,1.0000000000000002,1.0000000000000002,True
Cycle,4,3,2,1.485940555797079,1.485940555797079,1.485940555797079,0.0,False,1.0000000000000002,1.0000000000000002,True
Cycle,6,1,2,8.65096497930415,8.65096497930415,8.65096497930415,0.0,False,,8.65096497930415,False
Cycle,6,2,2,3.257700879053472,3.257700879053472,3.257700879053472,0.0,False,1.0000000000000009,1.0000000000000009,True
Cycle,6,3,2,2.2630370335080876,2.2630370335080876,2.2630370335080876,0.0,False,1.0000000000000009,1.0000000000000009,True
Cycle,6,4,2,1.7003736553142577,1.7003736553142577,1.7003736553142577,0.0,False,1.0000000000000009,1.0000000000000009,True
Cycle,6,5,2,1.4268234523235297,1.4268234523235297,1.4268234523235297,0.0,False,1.0000000000000009,1.0000000000000009,True
