n,m,analytic_lower_bound,analytic_grid_upper_bound,explicit_grid_gain,optimized_best_gain,optimized_median_gain,optimized_iqr_low,optimized_iqr_high,num_seeds,steps,used_fast_formula,optimization_status
8,1,3.5,7.0,7.0,6.344484476343207,6.579213836133217,6.392832858507605,6.616494514684114,5,15000,True,optimized;seed0:restarted_after_collision;seed1:restarted_after_collision;seed2:restarted_after_collision;seed3:restarted_after_collision;seed4:restarted_after_collision
8,2,1.0,2.8284271247461903,2.8284271247461903,2.9103628623820437,2.956078549139779,2.9476419696625924,3.066890406233959,5,15000,True,optimized;seed0:restarted_after_collision;seed1:restarted_after_collision;seed2:restarted_after_collision;seed3:restarted_after_collision;seed4:restarted_after_collision
8,3,1.0,1.7320508075688772,1.7320508075688772,2.14428784731156,2.2751105468656463,2.218913821625165,2.278536954230153,5,15000,True,optimized;seed0:restarted_after_collision;seed1:restarted_after_collision;seed2:restarted_after_collision;seed3:restarted_after_collision;seed4:restarted_after_collision
8,4,1.0,2.0,1.7320508075688772,1.9025333663650572,1.9171870367249417,1.9071630604591596,2.0269532276845394,5,15000,True,optimized;seed0:restarted_after_collision;seed1:restarted_after_collision;seed2:restarted_after_collision;seed3:restarted_after_collision;seed4:restarted_after_collision
12,1,5.5,11.0,11.0,12.507894961893628,13.424306695444827,12.966589382057743,13.728650017532445,5,15000,True,optimized;seed0:restarted_after_collision;seed1:restarted_after_collision;seed2:restarted_after_collision;seed3:restarted_after_collision;seed4:restarted_after_collision
12,2,1.2320508075688772,4.242640687119286,3.605551275463989,4.186510414273625,4.58291415278665,4.504866917439783,4.638905700273311,5,15000,True,optimized;seed0:restarted_after_collision;seed1:restarted_after_collision;seed2:restarted_after_collision;seed3:restarted_after_collision;seed4:restarted_after_collision
12,3,1.0,3.4641016151377544,3.0,3.0611084229301655,3.1227460400319775,3.0624397087433244,3.136783664962078,5,15000,True,optimized;seed0:restarted_after_collision;seed1:restarted_after_collision;seed2:restarted_after_collision;seed3:restarted_after_collision;seed4:restarted_after_collision
12,4,1.0,2.0,2.0,2.5001805464972273,2.530609673920122,2.5287450694685276,2.547419705517869,5,15000,True,optimized;seed0:restarted_after_collision;seed1:restarted_after_collision;seed2:restarted_after_collision;seed3:restarted_after_collision;seed4:restarted_after_collision
16,1,7.5,15.0,15.0,20.46189604867679,21.602762986365065,21.57455270782231,23.718864265671286,5,15000,True,optimized;seed0:restarted_after_collision;seed1:restarted_after_collision;seed2:restarted_after_collision;seed3:restarted_after_collision;seed4:restarted_after_collision
16,2,1.5,4.242640687119286,4.242640687119285,5.2168103420965375,5.890556199185887,5.65862250754591,5.959877341479201,5,15000,True,optimized;seed0:restarted_after_collision;seed1:restarted_after_collision;seed2:restarted_after_collision;seed3:restarted_after_collision;seed4:restarted_after_collision
