model,latent_dim,epsilon,q99_r_true,q99_r_model,q99_ratio_deficit,q99_norm_pair_error_now,q99_norm_pair_error_next
state8,8,1e-06,1.3020267827431773,1.255453826071214,0.14889759610026737,0.2733808938259078,0.30802766279675664
state16,16,1e-06,1.2113852969779322,1.2043564529076802,0.058543261668010785,0.15932617221436418,0.17260788056322085
state32,32,1e-06,1.1738313784910797,1.183767919560048,0.041553884862779444,0.15356122410538425,0.15592178524770076
state64,64,1e-06,1.1591376171260719,1.1522057881780041,0.045880899642109965,0.15062704535702148,0.1587220302136677
baseline192,192,1e-06,1.1362107765717402,1.1284342728778365,0.03752879196509771,0.12722798444198954,0.13041726744605167
