system,n,m,seed,run_type,init_kind,objective,initial_required_gain,best_required_gain,final_required_gain,min_pairwise_distance,max_pairwise_distance,steps_run,restart_count,converged,stopped_reason,system_label,reported_value
AdjacentSwap,8,2,0.0,random_optimization,random_gaussian,generic,5.831592957912364,5.525993748283953,5.525993748283953,1.0000000000000002,7.141830101807453,1,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,3,0.0,random_optimization,random_gaussian,generic,3.349273259668582,3.2214472612896197,3.2214472612896197,1.0000000000000002,4.592862522704342,1,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,4,0.0,random_optimization,random_gaussian,generic,2.9614839532127566,2.7210790684613375,2.7210790684613375,1.0,3.3170688293396706,1,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,5,0.0,random_optimization,random_gaussian,generic,2.0260033780144115,1.9119140905344711,1.9119140905344711,1.0,3.3516063347569447,1,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,6,0.0,random_optimization,random_gaussian,generic,3.933835599545173,3.614916611891788,3.614916611891788,1.0,4.668317025492108,1,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,7,0.0,random_optimization,random_gaussian,generic,2.188427053810852,2.0353737106781735,2.0353737106781735,0.9999999999999999,2.3262007734184302,1,0,False,max_steps,Adjacent transpositions,exact hard gain
AllSwap,8,1,0.0,random_optimization,random_gaussian,generic,16.641306906756185,16.00125665054804,16.00125665054804,1.0000000000000004,21.62752489746021,1,0,False,max_steps,Complete transpositions,exact hard gain
AllSwap,8,2,0.0,random_optimization,random_gaussian,generic,7.229983933570351,6.851103343493236,6.851103343493236,1.0000000000000002,7.170168386434714,1,0,False,max_steps,Complete transpositions,exact hard gain
AllSwap,8,3,0.0,random_optimization,random_gaussian,generic,4.843100007099807,4.535328754074352,4.535328754074352,1.0000000000000002,4.535328754074353,1,0,False,max_steps,Complete transpositions,exact hard gain
AllSwap,8,4,0.0,random_optimization,random_gaussian,generic,3.4745643455070523,3.20636060026971,3.20636060026971,0.9999999999999999,3.35582765330114,1,0,False,max_steps,Complete transpositions,exact hard gain
AllSwap,8,5,0.0,random_optimization,random_gaussian,generic,2.7983912879867217,2.6730790848054253,2.6730790848054253,0.9999999999999999,3.330171668629208,1,0,False,max_steps,Complete transpositions,exact hard gain
AllSwap,8,6,0.0,random_optimization,random_gaussian,generic,3.933835599545173,3.61491661452867,3.61491661452867,0.9999999999999999,4.643977250052374,1,0,False,max_steps,Complete transpositions,exact hard gain
AllSwap,8,7,0.0,random_optimization,random_gaussian,generic,2.467050457055998,2.302429431525516,2.302429431525516,1.0000000000000002,2.3024294315255163,1,0,False,max_steps,Complete transpositions,exact hard gain
Cycle,10,1,0.0,random_optimization,random_gaussian,generic,33.842499918266654,32.50240379308196,32.50240379308196,1.0,32.50240379308196,1,0,False,max_steps,Cycle,exact hard gain
Cycle,10,2,0.0,random_optimization,random_gaussian,generic,33.16020304858486,31.53802539873116,31.53802539873116,1.0,37.55117513202399,1,0,False,max_steps,Cycle,exact hard gain
Cycle,10,3,0.0,random_optimization,random_gaussian,generic,4.939815473352534,4.611839295508623,4.611839295508623,0.9999999999999999,6.579830163511272,1,0,False,max_steps,Cycle,exact hard gain
Cycle,10,4,0.0,random_optimization,random_gaussian,generic,2.681462046276218,2.525852794209221,2.525852794209221,1.0000000000000002,3.917890893142021,1,0,False,max_steps,Cycle,exact hard gain
Cycle,10,5,0.0,random_optimization,random_gaussian,generic,2.86785262909654,2.5946386928245433,2.5946386928245433,1.0000000000000002,3.151401933373762,1,0,False,max_steps,Cycle,exact hard gain
Cycle,10,6,0.0,random_optimization,random_gaussian,generic,4.441789059234931,4.032608619271602,4.032608619271602,1.0,5.087281640618608,1,0,False,max_steps,Cycle,exact hard gain
Cycle,10,7,0.0,random_optimization,random_gaussian,generic,1.7708079942442965,1.608860429802704,1.608860429802704,1.0,2.8787428414821794,1,0,False,max_steps,Cycle,exact hard gain
Cycle,10,8,0.0,random_optimization,random_gaussian,generic,2.0796251505799557,1.879597246561344,1.879597246561344,1.0,2.806223615147883,1,0,False,max_steps,Cycle,exact hard gain
Cycle,10,9,0.0,random_optimization,random_gaussian,generic,1.8003051840697502,1.6905311606848616,1.6905311606848616,1.0,2.984932054579274,1,0,False,max_steps,Cycle,exact hard gain
AdjacentSwap,10,1,0.0,random_optimization,random_gaussian,generic,17.68954528375583,17.009178171227518,17.009178171227518,1.0,32.50240379778126,1,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,10,2,0.0,random_optimization,random_gaussian,generic,23.17509708428571,22.066680428738163,22.066680428738163,1.0000000000000013,37.5435839987094,1,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,10,3,0.0,random_optimization,random_gaussian,generic,5.5631375854176195,5.216850855776587,5.216850855776587,1.0000000000000002,6.609072440382409,1,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,10,4,0.0,random_optimization,random_gaussian,generic,2.9614839532127566,2.7822357920773553,2.7822357920773553,0.9999999999999998,3.932545057363565,1,0,False,max_steps,Adjacent transpositions,exact hard gain
