system,system_label,n,m,theoretical_L1_threshold,best_optimized_gain,median_optimized_gain,optimized_gain_q1,optimized_gain_q3,optimized_gain_iqr,mean_optimized_gain,std_optimized_gain,analytic_construction_gain,analytic_construction_kind,best_available_upper_bound,best_solution_source,optimized_L1_feasible,analytic_L1_feasible,best_available_L1_feasible,optimized_result_interpretation
AllSwap,Complete transpositions,4,2,3,2.2523412930637354,2.2523412930637354,2.2523412930637354,2.2523412930637354,0.0,2.2523412930637354,0.0,1.4142135623730951,grid,1.4142135623730951,analytic,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,4,3,3,1.9471573477673387,1.9471573477673387,1.9471573477673387,1.9471573477673387,0.0,1.9471573477673387,0.0,1.0000000000000004,regular_simplex,1.0000000000000004,analytic,False,True,True,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,6,1,5,8.999595052906036,8.999595052906036,8.999595052906036,8.999595052906036,0.0,8.999595052906036,0.0,5.0,grid,5.0,analytic,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,6,2,5,3.6130356741304075,3.6130356741304075,3.6130356741304075,3.6130356741304075,0.0,3.6130356741304075,0.0,2.23606797749979,grid,2.23606797749979,analytic,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,6,3,5,2.9302086878076636,2.9302086878076636,2.9302086878076636,2.9302086878076636,0.0,2.9302086878076636,0.0,1.7320508075688772,grid,1.7320508075688772,analytic,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,6,4,5,2.7170937060495515,2.7170937060495515,2.7170937060495515,2.7170937060495515,0.0,2.7170937060495515,0.0,1.7320508075688772,grid,1.7320508075688772,analytic,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,6,5,5,2.2036423196777046,2.2036423196777046,2.2036423196777046,2.2036423196777046,0.0,2.2036423196777046,0.0,1.0000000000000009,regular_simplex,1.0000000000000009,analytic,False,True,True,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,8,1,7,16.00125665054804,16.00125665054804,16.00125665054804,16.00125665054804,0.0,16.00125665054804,0.0,7.0,grid,7.0,analytic,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,8,2,7,6.851103343493236,6.851103343493236,6.851103343493236,6.851103343493236,0.0,6.851103343493236,0.0,2.8284271247461903,grid,2.8284271247461903,analytic,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,8,3,7,4.535328754074352,4.535328754074352,4.535328754074352,4.535328754074352,0.0,4.535328754074352,0.0,1.7320508075688772,grid,1.7320508075688772,analytic,False,False,False,empirical upper bound on the dimension--gain profile
