ci95_high,ci95_low,latent_dim,mean,model,num_windows,q_far,q_near,relative_increase_vs_baseline192,relative_to_random
0.01001616452612638,0.002677996300091198,8,0.005867711045796321,state8,20.0,0.7,0.01,1.387824886184218,0.5867711045796321
0.04588884615166059,0.010715504715270429,8,0.025810615802388907,state8,20.0,0.7,0.05,1.3830063942723527,0.5162123160477781
0.09208445919173017,0.02000257598418304,8,0.0520799685501778,state8,20.0,0.7,0.1,1.3811936280451294,0.520799685501778
0.010019118429960453,0.0026334382850787415,8,0.005885434056597876,state8,20.0,0.75,0.01,1.3873111393286068,0.5885434056597876
0.046333441036295255,0.010957655921950466,8,0.026107459118571034,state8,20.0,0.75,0.05,1.3967655004045163,0.5221491823714206
0.09303110596550834,0.020121998661875213,8,0.05229381450408312,state8,20.0,0.75,0.1,1.3839617378790778,0.5229381450408312
0.013642012071062306,0.0027239125083681256,8,0.007544499483470335,state8,20.0,0.8,0.01,1.2736209251488808,0.7544499483470335
0.06446123794786572,0.011002682696519371,8,0.03423007164008027,state8,20.0,0.8,0.05,1.2822381529773426,0.6846014328016053
0.1314852597022369,0.0204031188853903,8,0.0678517257310957,state8,20.0,0.8,0.1,1.3030151962597067,0.6785172573109569
0.009245150010980866,0.0012809409400648375,16,0.004869671144206761,state16,20.0,0.7,0.01,1.1517695313754395,0.4869671144206761
0.042336241071157125,0.0051970108020458145,16,0.021230668910866807,state16,20.0,0.7,0.05,1.1375997799979036,0.42461337821733613
0.0826595019849863,0.009148790989751666,16,0.04033703525615372,state16,20.0,0.7,0.1,1.0697636273791689,0.40337035256153714
0.009301079064259742,0.0013166986306923222,16,0.00492703427577484,state16,20.0,0.75,0.01,1.1613976928300696,0.492703427577484
0.042409568755514805,0.00535475941385803,16,0.021460571185099402,state16,20.0,0.75,0.05,1.1481540702289064,0.429211423701988
0.082840495276333,0.009060151529464914,16,0.04049242016136383,state16,20.0,0.75,0.1,1.0716364967614913,0.4049242016136383
0.013791521430715608,0.0013211188806952587,16,0.006682850240536199,state16,20.0,0.8,0.01,1.1281620370749943,0.6682850240536199
0.062132006114204566,0.004121124180091612,16,0.02916499148885334,state16,20.0,0.8,0.05,1.09250325887368,0.5832998297770667
0.11769047519495111,0.006210520730726283,16,0.05467636475436657,state16,20.0,0.8,0.1,1.0499973786006134,0.5467636475436657
0.008566346155854589,0.001196650696964564,32,0.004426969400319219,state32,20.0,0.7,0.01,1.04706217742957,0.4426969400319219
0.04056023518937751,0.00438726752711479,32,0.020037110729248277,state32,20.0,0.7,0.05,1.0736455291674478,0.4007422145849655
0.08104244340845147,0.0077520899158223045,32,0.03901003192362899,state32,20.0,0.7,0.1,1.0345706616708297,0.3901003192362899
0.00869314965463953,0.0012412970440879574,32,0.0044915343121164925,state32,20.0,0.75,0.01,1.0587418912442683,0.44915343121164925
0.04056023518937751,0.004504051985866072,32,0.02016624055284282,state32,20.0,0.75,0.05,1.0789065664775066,0.40332481105685636
0.08104244340845147,0.00797197268045583,32,0.039225559449937455,state32,20.0,0.75,0.1,1.0381088842041881,0.3922555944993745
0.012071480363319217,0.0013148182385647285,32,0.005859323022753836,state32,20.0,0.8,0.01,0.9891386997024798,0.5859323022753835
0.05935547418290827,0.00306702873490261,32,0.027494492004490195,state32,20.0,0.8,0.05,1.0299273403684046,0.5498898400898039
0.11678774296565159,0.0042310526399401156,32,0.0534170348826017,state32,20.0,0.8,0.1,1.0258133811807602,0.534170348826017
0.00873695381387258,0.0005813605258823352,64,0.004034788184048445,state64,20.0,0.7,0.01,0.9543038858936395,0.4034788184048445
0.041897340854720855,0.00318121772824479,64,0.019479924031912753,state64,20.0,0.7,0.05,1.0437898770931877,0.38959848063825503
0.08248862899679547,0.007132828700000423,64,0.03892704797803355,state64,20.0,0.7,0.1,1.0323698750713515,0.38927047978033547
0.00873695381387258,0.0005813605258823352,64,0.004034788184048445,state64,20.0,0.75,0.01,0.9510779559728061,0.4034788184048445
0.04191132311804058,0.0032644103356890457,64,0.019530341646014963,state64,20.0,0.75,0.05,1.044885574592843,0.39060683292029924
0.08249006307508466,0.007191346783985131,64,0.03905656477202201,state64,20.0,0.75,0.1,1.033636420866829,0.39056564772022007
0.00965288066689146,7.374631268436578e-05,64,0.004418636024421904,state64,20.0,0.8,0.01,0.7459298411578354,0.44186360244219036
0.05493392533643891,0.0009203520347750218,64,0.02474936665692823,state64,20.0,0.8,0.05,0.9270965752925975,0.4949873331385646
0.11197383287335538,0.0027939240860910303,64,0.051100215247274504,state64,20.0,0.8,0.1,0.9813214959811372,0.511002152472745
0.008646540261144317,0.0009979970645190828,192,0.004227990940506488,baseline192,20.0,0.7,0.01,1.0,0.42279909405064875
0.03934650716844755,0.0033757067106436564,192,0.01866268725096442,baseline192,20.0,0.7,0.05,1.0,0.3732537450192884
0.08011794974394726,0.006559348606662603,192,0.037706493494246075,baseline192,20.0,0.7,0.1,1.0,0.37706493494246074
0.008646898780716618,0.0010123378474111023,192,0.004242331723398508,baseline192,20.0,0.75,0.01,1.0,0.4242331723398508
0.039363969087216615,0.003432352803067134,192,0.01869136881674846,baseline192,20.0,0.75,0.05,1.0,0.3738273763349692
0.08014796066113594,0.00660434843483582,192,0.037785592674132326,baseline192,20.0,0.75,0.1,1.0,0.37785592674132323
0.012788115425914461,0.0006714585151024141,192,0.005923661691243346,baseline192,20.0,0.8,0.01,1.0,0.5923661691243346
0.05959617556710065,0.001648646053449047,192,0.026695564751835238,baseline192,20.0,0.8,0.05,1.0,0.5339112950367048
0.11499655289738302,0.00253635265646604,192,0.05207285834107189,baseline192,20.0,0.8,0.1,1.0,0.5207285834107189
