ci95_high,ci95_low,latent_dim,mean,metric,model,num_windows,q_far,q_near,std
0.046333441036295255,0.010957655921950466,8,0.026107459118571034,candidate_false_shortcut_rate,state8,20,0.75,0.05,0.03977348426620754
0.4838571148847636,0.07473300759206639,8,0.29605937649437425,candidate_goal_metric_spearman,state8,20,0.75,0.05,0.44996903064396876
0.6877072508407819,0.5121371979632536,8,0.6075406513550947,candidate_pairwise_rank_acc,state8,20,0.75,0.05,0.19381680726983236
0.042409568755514805,0.00535475941385803,16,0.021460571185099402,candidate_false_shortcut_rate,state16,20,0.75,0.05,0.04167849985301462
0.5197903248288218,0.16217469027969755,16,0.367777818687672,candidate_goal_metric_spearman,state16,20,0.75,0.05,0.40163930886169613
0.7072430396420077,0.5461146843307458,16,0.6375964233881813,candidate_pairwise_rank_acc,state16,20,0.75,0.05,0.17964678200124948
0.04056023518937751,0.004504051985866072,32,0.02016624055284282,candidate_false_shortcut_rate,state32,20,0.75,0.05,0.040762240270385684
0.5060939481693584,0.15339815351580524,32,0.35190807316079276,candidate_goal_metric_spearman,state32,20,0.75,0.05,0.39014526314567016
0.7010491582884443,0.5402523244148392,32,0.6311471886296836,candidate_pairwise_rank_acc,state32,20,0.75,0.05,0.17553622389386112
0.04191132311804058,0.0032644103356890457,64,0.019530341646014963,candidate_false_shortcut_rate,state64,20,0.75,0.05,0.04238646020335442
0.5298890030898199,0.17739713525882164,64,0.37421713147914903,candidate_goal_metric_spearman,state64,20,0.75,0.05,0.3959370949139798
0.7114260683003024,0.5527724270149303,64,0.6410078040758782,candidate_pairwise_rank_acc,state64,20,0.75,0.05,0.1786640510030939
0.039363969087216615,0.003432352803067134,192,0.01869136881674846,candidate_false_shortcut_rate,baseline192,20,0.75,0.05,0.0404467937239101
0.5300567289985931,0.1806047062631531,192,0.37650295719571286,candidate_goal_metric_spearman,baseline192,20,0.75,0.05,0.39327437251244357
0.71182283750715,0.5530769696166853,192,0.6424216965278062,candidate_pairwise_rank_acc,baseline192,20,0.75,0.05,0.1774737549089103
