system,n,source_m,run_type,init_kind,seed,exact_hard_required_gain,gain_budget_L,oracle_mse_at_L1,oracle_num_actions,oracle_max_constraint_violation
Cycle,8,6,random optimization,random_gaussian,8,1.00001572288922,1,1.15463634395038e-10,1,6.3549165929544e-13
Cycle,8,6,random optimization,random_gaussian,9,1.00001261297955,1,8.57584093199549e-11,1,0
Cycle,8,7,random optimization,random_gaussian,0,1.00000000034879,1,7.63979055617106e-20,1,0
Cycle,8,7,random optimization,random_gaussian,1,1.00000000086543,1,3.07659943143916e-19,1,2.22044604925031e-16
Cycle,8,7,random optimization,random_gaussian,2,1.000000000168,1,7.54215575882353e-21,1,2.22044604925031e-16
Cycle,8,7,random optimization,random_gaussian,3,1.00000000005315,1,0,1,0
Cycle,8,7,random optimization,random_gaussian,4,1.00000000000173,1,0,1,0
Cycle,8,7,random optimization,random_gaussian,5,1.0000000007404,1,1.56522185280522e-19,1,2.22044604925031e-16
Cycle,8,7,random optimization,random_gaussian,6,1.00000000032297,1,2.65290530610973e-20,1,2.22044604925031e-16
Cycle,8,7,random optimization,random_gaussian,7,1.00000000013643,1,4.76840707962071e-21,1,0
Cycle,8,7,random optimization,random_gaussian,8,1.00000000018284,1,8.91759233952284e-21,1,0
Cycle,8,7,random optimization,random_gaussian,9,1.00000000089803,1,2.2358667879453e-19,1,0
Cycle,8,2,analytic construction,regular_polygon,,1,1,0,1,0
Cycle,8,3,analytic construction,regular_polygon,,1,1,0,1,0
Cycle,8,4,analytic construction,regular_polygon,,1,1,0,1,0
Cycle,8,5,analytic construction,regular_polygon,,1,1,0,1,0
Cycle,8,6,analytic construction,regular_polygon,,1,1,0,1,0
Cycle,8,7,analytic construction,regular_polygon,,1,1,0,1,0
Adjacent pair actions,8,1,random optimization,random_gaussian,0,4.34952233286244,1,2.36878807898074,7,4.18420853520729e-12
Adjacent pair actions,8,1,random optimization,random_gaussian,1,4.67734576566653,1,1.73060691242047,7,1.69837477415058e-11
Adjacent pair actions,8,1,random optimization,random_gaussian,2,3.73151615866594,1,11.3763262783037,7,1.64313007644523e-14
Adjacent pair actions,8,1,random optimization,random_gaussian,3,3.42970738492947,1,8.37982825644226,7,2.88657986402541e-15
Adjacent pair actions,8,1,random optimization,random_gaussian,4,4.51092603043067,1,2.51428017483638,7,1.26521015886283e-12
